Zip Code,State,Geography,Total population,Male; Estimate; Total population,Female; Estimate; Total population, AGE - Under 5 years, AGE - 5 to 9 years, AGE - 10 to 14 years, AGE - 15 to 19 years, AGE - 20 to 24 years, AGE - 25 to 29 years, AGE - 30 to 34 years, AGE - 35 to 39 years, AGE - 40 to 44 years, AGE - 45 to 49 years, AGE - 50 to 54 years, AGE - 55 to 59 years, AGE - 60 to 64 years, AGE - 65 to 69 years, AGE - 70 to 74 years, AGE - 75 to 79 years, AGE - 80 to 84 years, AGE - 85 years and over
ZIP 32083,FL,ZCTA5 32083,4253,3645,608,127,416,488,705,1049,1501,1863,1302,1899,1429,1736,2351,1248,1284,253,181,235,18
ZIP 32084,FL,ZCTA5 32084,32180,15512,16668,1121,832,724,1447,1845,1212,1140,977,941,1266,1411,1320,1103,832,742,488,289,398
ZIP 32086,FL,ZCTA5 32086,26694,12666,14028,778,977,1067,868,1194,995,922,941,977,1393,1320,1646,1230,1230,814,687,506,579
ZIP 32087,FL,ZCTA5 32087,5644,3692,1952,1537,760,1628,1103,1881,1501,1700,1049,1103,1537,1248,1049,1031,416,145,199,54,127
ZIP 32091,FL,ZCTA5 32091,15129,7394,7735,1248,1067,904,1049,1103,1049,1049,1411,868,1085,1411,1284,1103,1176,543,488,615,579
ZIP 32092,FL,ZCTA5 32092,28869,14495,14374,1411,1519,1736,1031,506,959,1194,1393,1646,1574,977,1031,959,959,488,163,217,289
ZIP 32094,FL,ZCTA5 32094,2595,1399,1196,724,1574,1085,470,525,705,615,470,1519,669,1483,1519,2641,1302,1592,724,289,217
ZIP 32095,FL,ZCTA5 32095,7142,3785,3357,760,995,1899,850,886,724,1465,1556,868,615,2243,2351,1013,1031,380,145,289,36
ZIP 32096,FL,ZCTA5 32096,2539,1435,1104,1320,1140,1103,1013,1049,904,669,669,941,687,2062,1411,1574,1357,850,579,344,416
ZIP 32097,FL,ZCTA5 32097,16106,7653,8453,1357,1284,1013,1176,959,1357,1103,1284,1320,1411,1140,1375,850,977,669,326,199,289
ZIP 32102,FL,ZCTA5 32102,2063,1068,995,271,145,760,886,1158,271,488,145,344,922,2424,1103,2351,1863,2406,1302,868,362
ZIP 32110,FL,ZCTA5 32110,7813,3677,4136,886,742,796,1302,1429,1013,1429,506,1393,1140,2080,1519,1194,742,525,597,506,307
ZIP 32112,FL,ZCTA5 32112,8632,4369,4263,1519,1519,922,1121,1230,1230,904,941,525,850,922,1103,868,1248,1339,687,470,724
ZIP 32113,FL,ZCTA5 32113,5746,2838,2908,633,452,796,1103,1393,995,778,1375,525,2044,1447,1917,1266,1266,850,687,434,145
ZIP 32114,FL,ZCTA5 32114,32005,15835,16170,1212,687,724,1881,2442,1501,814,742,1013,1085,1212,1121,959,778,543,434,470,488
ZIP 32117,FL,ZCTA5 32117,24421,11526,12895,868,886,1194,886,1320,1121,1266,995,1212,1194,1429,1357,1140,959,724,597,434,488
ZIP 32118,FL,ZCTA5 32118,15977,7714,8263,488,398,344,416,1103,1284,724,669,1031,868,1664,1519,1791,1700,1248,959,868,1031
ZIP 32119,FL,ZCTA5 32119,20934,9753,11181,1049,778,724,850,1556,1266,1212,543,1031,1176,1320,1212,1194,1049,1121,778,651,579
ZIP 32124,FL,ZCTA5 32124,5456,3813,1643,669,488,398,1302,1809,1972,1990,1664,1447,1013,904,1773,1013,434,615,145,199,253
ZIP 32127,FL,ZCTA5 32127,29804,14206,15598,506,651,886,1067,868,814,705,687,1013,1501,1664,1610,1302,1429,1212,796,705,651
ZIP 32128,FL,ZCTA5 32128,16895,7859,9036,814,904,1067,814,941,778,597,651,1176,904,1411,1266,1284,1755,1519,1121,742,362
ZIP 32129,FL,ZCTA5 32129,20669,10098,10571,941,904,814,778,1339,1103,814,941,1140,1049,1682,1266,1339,995,1049,687,561,651
ZIP 32130,FL,ZCTA5 32130,6105,2786,3319,814,1176,1248,1140,1266,995,1067,1230,1085,1140,1845,615,1429,1013,1013,525,163,326
ZIP 32131,FL,ZCTA5 32131,4615,2432,2183,1085,1212,904,995,1085,1646,1067,886,1194,941,1501,1140,977,1031,1013,886,253,253
ZIP 32132,FL,ZCTA5 32132,7002,3269,3733,850,543,633,1013,1067,1194,398,1103,687,1556,1176,1592,1700,1248,1284,796,760,506
ZIP 32133,FL,ZCTA5 32133,92,40,52,0,0,0,0,0,0,0,0,0,0,0,0,0,7868,7868,0,0,2351
ZIP 32134,FL,ZCTA5 32134,7452,3850,3602,778,687,1031,1212,814,651,796,796,922,1266,1718,1628,1990,1574,1194,416,326,289
ZIP 32136,FL,ZCTA5 32136,7358,3707,3651,814,705,506,669,506,326,398,289,1429,1429,1411,1827,1954,2080,1248,760,1103,651
ZIP 32137,FL,ZCTA5 32137,38214,18206,20008,651,850,1049,959,814,615,669,796,959,904,1140,1357,1574,1990,1393,922,687,742
ZIP 32139,FL,ZCTA5 32139,1003,571,432,289,253,687,633,868,832,543,0,2496,506,995,2189,2044,1628,1574,796,1357,452
ZIP 32140,FL,ZCTA5 32140,928,561,367,0,615,1610,0,488,977,90,289,2786,941,2695,778,1212,941,977,922,1501,1266
ZIP 32141,FL,ZCTA5 32141,17797,8786,9011,615,525,941,868,886,850,796,850,1085,1230,1284,1682,1537,1393,1266,868,850,579
ZIP 32145,FL,ZCTA5 32145,4714,2412,2302,760,796,1501,1809,651,904,796,1121,1302,1700,1682,1140,1049,941,796,307,362,470
ZIP 32147,FL,ZCTA5 32147,101,27,74,4649,1610,0,0,0,0,1610,0,0,0,0,0,0,5915,1610,2695,0,0
ZIP 32148,FL,ZCTA5 32148,10212,5222,4990,705,1176,959,1121,977,1339,724,633,1339,941,1519,1556,1556,1284,904,687,434,307
ZIP 32157,FL,ZCTA5 32157,529,280,249,416,2641,1917,1121,1954,0,0,543,1954,1718,850,271,1375,1429,506,470,307,615
ZIP 32159,FL,ZCTA5 32159,29898,14107,15791,452,561,651,543,506,380,561,434,452,434,959,868,1357,1935,2478,2677,1863,995
ZIP 32162,FL,ZCTA5 32162,52224,24655,27569,0,36,0,18,54,0,90,90,217,163,344,1103,3075,4811,4160,2388,832,687
ZIP 32164,FL,ZCTA5 32164,43909,21032,22877,977,1121,1140,1067,886,904,941,1031,1284,1176,1103,1067,1320,1085,1266,796,416,506
ZIP 32168,FL,ZCTA5 32168,24777,12642,12135,886,904,687,868,778,850,977,1085,814,1266,1574,1393,1736,1393,1085,724,506,525
ZIP 32169,FL,ZCTA5 32169,10340,5143,5197,561,615,506,452,307,597,705,742,705,760,1176,2315,2008,1357,1899,1646,778,977
ZIP 32174,FL,ZCTA5 32174,47619,22874,24745,651,633,977,977,959,724,651,796,1103,1031,1375,1357,1628,1682,1176,886,724,778
ZIP 32176,FL,ZCTA5 32176,14164,6809,7355,398,651,651,651,724,579,669,687,1049,1393,1519,1628,1610,1393,1230,1320,1158,778
ZIP 32177,FL,ZCTA5 32177,26613,12568,14045,1302,1266,1248,1248,1302,742,1031,995,1158,1339,1067,1429,1049,868,760,525,380,344
ZIP 32179,FL,ZCTA5 32179,6865,3518,3347,597,832,1031,579,1429,615,470,742,561,2026,1230,1899,1917,1411,705,886,868,289
ZIP 32180,FL,ZCTA5 32180,4243,2314,1929,1339,1592,1302,1357,705,742,904,1067,1447,995,1266,633,1393,977,1339,307,362,362
ZIP 32181,FL,ZCTA5 32181,2154,1104,1050,959,904,1121,1176,615,235,1067,724,1682,977,1574,1284,814,1140,1664,850,796,452
ZIP 32187,FL,ZCTA5 32187,1670,1041,629,0,181,416,452,2659,525,669,181,1809,1755,3165,1013,1682,922,1284,543,615,199
ZIP 32189,FL,ZCTA5 32189,5800,2798,3002,687,1013,832,796,778,904,760,452,615,1212,1773,1899,1646,1320,1320,1121,705,271
ZIP 32190,FL,ZCTA5 32190,758,466,292,326,760,995,1411,1773,163,1266,922,2044,3129,597,1248,452,760,687,1339,199,0
ZIP 32193,FL,ZCTA5 32193,1184,590,594,1248,760,742,2876,344,434,814,705,217,543,651,886,1718,2279,1320,1085,1411,54
ZIP 32195,FL,ZCTA5 32195,3064,1677,1387,977,778,705,705,615,434,1556,488,959,995,2116,2695,778,1592,904,904,470,416
ZIP 32202,FL,ZCTA5 32202,6081,4101,1980,181,452,597,742,2659,1881,1718,1375,1140,1483,1682,1429,687,597,452,235,326,452
ZIP 32204,FL,ZCTA5 32204,6603,3073,3530,1013,850,814,380,977,3129,1302,1266,941,995,1140,669,922,742,525,615,651,1121
ZIP 32205,FL,ZCTA5 32205,29068,14211,14857,1176,1103,1031,868,995,1628,1791,977,1266,1357,1357,995,1085,977,452,344,307,398
ZIP 32206,FL,ZCTA5 32206,17255,8393,8862,1501,1212,1085,1302,1230,1375,1212,1248,1049,1067,1483,1465,1121,705,380,217,217,253
ZIP 32207,FL,ZCTA5 32207,33476,16414,17062,1610,941,995,868,1176,1592,1339,1049,1140,1302,1375,1411,1031,868,452,434,217,326
ZIP 32208,FL,ZCTA5 32208,30170,14621,15549,941,1121,1158,1230,1194,922,904,1212,1121,1230,1248,1664,1357,977,669,543,362,217
ZIP 32209,FL,ZCTA5 32209,33519,14201,19318,1121,1483,1158,1320,1574,1013,1049,868,1013,1230,1121,977,850,868,597,615,633,579
ZIP 32210,FL,ZCTA5 32210,60495,28369,32126,1465,1320,1194,1031,1248,1483,1248,1212,1121,1158,1375,1302,995,651,470,307,307,217
ZIP 32211,FL,ZCTA5 32211,31225,15538,15687,1375,1140,959,1031,1700,1556,1393,1103,1158,1121,1302,995,1067,724,470,434,326,271
ZIP 32212,FL,ZCTA5 32212,2293,1690,603,1049,1537,832,1121,7326,3726,1248,344,615,54,90,163,0,0,0,0,0,0
ZIP 32216,FL,ZCTA5 32216,35589,17282,18307,1212,904,959,904,1483,1954,1429,1429,941,977,1284,1049,1013,724,705,398,344,362
ZIP 32217,FL,ZCTA5 32217,20074,10241,9833,1121,1158,1067,1140,1140,1447,1266,1067,941,1031,1230,1266,1140,904,506,597,579,506
ZIP 32218,FL,ZCTA5 32218,56734,27682,29052,1320,1375,1411,1212,1447,1121,1266,1320,1266,1429,1230,977,922,724,452,289,145,181
ZIP 32219,FL,ZCTA5 32219,10946,5234,5712,705,742,1302,1465,1447,850,1103,1176,1429,1556,1140,1429,1121,742,543,525,543,289
ZIP 32220,FL,ZCTA5 32220,13628,6896,6732,1266,1339,1103,1284,1375,1592,850,1212,977,1429,1483,1248,959,705,669,253,217,127
ZIP 32221,FL,ZCTA5 32221,30216,14499,15717,1049,1393,1447,1320,1248,1176,1302,868,1176,1447,1501,1103,1085,597,525,380,199,253
ZIP 32222,FL,ZCTA5 32222,10292,5206,5086,868,1682,1266,1592,1158,1302,977,904,1646,1266,1339,1230,1158,814,271,344,127,109
ZIP 32223,FL,ZCTA5 32223,24788,11816,12972,778,1121,959,1085,760,1248,922,1121,922,1212,1646,1537,1718,1284,615,506,344,289
ZIP 32224,FL,ZCTA5 32224,37563,17011,20552,1302,1031,796,1718,1809,1519,1176,1212,1194,1176,977,886,1194,760,307,398,271,344
ZIP 32225,FL,ZCTA5 32225,51807,25621,26186,1049,1248,1140,959,1284,1320,1465,1212,1357,1375,1574,1067,1067,687,488,362,253,199
ZIP 32226,FL,ZCTA5 32226,16959,7682,9277,1718,1411,1031,1140,868,1103,1519,1140,1375,1556,1628,995,778,597,633,235,235,145
ZIP 32227,FL,ZCTA5 32227,2594,1768,826,2098,1610,886,977,5987,3437,1031,1447,362,109,54,0,0,0,0,54,0,0
ZIP 32228,FL,ZCTA5 32228,183,147,36,0,0,0,1393,11558,5137,0,0,0,0,0,0,0,0,0,0,0,0
ZIP 32233,FL,ZCTA5 32233,23382,12305,11077,1049,633,868,1393,1736,1773,1121,922,1212,1320,1447,1266,1085,778,434,506,235,307
ZIP 32234,FL,ZCTA5 32234,6182,3317,2865,1266,1248,1375,995,941,1248,1556,814,850,1700,1067,1465,1085,904,669,307,145,470
ZIP 32244,FL,ZCTA5 32244,60912,29639,31273,1610,1501,1302,1049,1357,1411,1411,1266,1320,1194,1013,1194,832,615,452,235,163,163
ZIP 32246,FL,ZCTA5 32246,50078,24038,26040,1320,1013,1103,1158,1628,1791,1574,1320,1393,1230,1320,995,796,615,362,217,163,109
ZIP 32250,FL,ZCTA5 32250,25829,13191,12638,886,760,1031,832,1103,1375,1194,1357,1013,1393,1664,1320,1375,1049,488,543,271,452
ZIP 32254,FL,ZCTA5 32254,13042,6259,6783,1230,1085,1339,1537,1411,922,1302,1049,1158,1483,1592,1067,1049,597,380,398,253,271
ZIP 32256,FL,ZCTA5 32256,40377,18980,21397,1031,959,977,886,1465,2333,1773,1158,977,1158,1248,1176,868,760,434,307,326,271
ZIP 32257,FL,ZCTA5 32257,36387,16580,19807,1031,868,1013,1266,1411,1320,1103,1067,1266,1447,1302,1302,1194,886,579,326,235,470
ZIP 32258,FL,ZCTA5 32258,28595,14106,14489,1357,1302,1302,886,796,1682,1519,1827,1429,1320,1302,1031,886,579,434,90,109,271
ZIP 32259,FL,ZCTA5 32259,41192,20054,21138,796,1339,1755,1736,922,488,724,1266,1718,1773,1501,1176,995,760,452,271,217,199
ZIP 32266,FL,ZCTA5 32266,6733,3222,3511,705,506,1302,1176,1357,886,1357,1176,832,904,1501,1682,1339,814,760,742,271,742
ZIP 32277,FL,ZCTA5 32277,29129,14287,14842,1592,1339,1158,1411,1393,1212,1284,1067,1230,1230,1248,1176,778,561,597,326,289,199
ZIP 32301,FL,ZCTA5 32301,29062,13014,16048,1049,651,561,1791,3961,2080,1483,1031,778,904,904,922,597,452,271,253,217,199
ZIP 32303,FL,ZCTA5 32303,47734,22955,24779,1013,977,941,1194,3401,2116,1465,886,850,904,886,941,868,506,326,326,326,163
ZIP 32304,FL,ZCTA5 32304,47789,24696,23093,543,470,326,3798,7724,1700,633,434,362,416,470,326,307,163,90,72,127,127
ZIP 32305,FL,ZCTA5 32305,20739,9336,11403,1230,1411,1266,1375,2370,922,1013,724,1284,1140,1302,1230,904,633,488,344,271,199
ZIP 32308,FL,ZCTA5 32308,22440,9793,12647,1158,814,868,778,1465,1411,1465,904,1013,1194,1266,1284,1067,1067,525,561,380,850
ZIP 32309,FL,ZCTA5 32309,31358,14880,16478,1067,1393,1140,1212,868,760,959,1085,1302,1158,1465,1682,1357,995,724,307,307,344
ZIP 32310,FL,ZCTA5 32310,17119,9103,8016,1121,1302,1013,1755,2189,1447,1339,1176,922,724,1556,922,868,669,579,163,181,181
ZIP 32311,FL,ZCTA5 32311,19338,8547,10791,1067,1121,1013,922,1067,1411,1700,1483,1375,1085,1085,1519,1302,814,452,307,235,109
ZIP 32312,FL,ZCTA5 32312,31686,14705,16981,959,1212,1537,1302,850,705,904,1067,1393,1393,1411,1339,1375,1031,742,416,235,217
ZIP 32317,FL,ZCTA5 32317,13617,6458,7159,922,1212,1393,1393,886,543,922,1411,1664,1809,1429,1284,1121,941,488,271,199,217
ZIP 32320,FL,ZCTA5 32320,3514,1844,1670,1230,1266,1067,850,977,1375,1411,1103,832,904,1176,1266,1320,1176,850,543,344,398
ZIP 32321,FL,ZCTA5 32321,6626,4266,2360,850,941,922,1013,2116,1447,1284,1646,1357,1375,1266,1429,669,687,380,362,253,127
ZIP 32322,FL,ZCTA5 32322,4487,3028,1459,470,506,597,778,1664,1972,1465,2062,1212,1483,1031,1284,814,1194,488,651,217,217
ZIP 32323,FL,ZCTA5 32323,409,230,179,398,2026,922,0,0,1592,669,2080,0,0,3545,1628,434,2749,1284,760,0,0
ZIP 32324,FL,ZCTA5 32324,4713,2651,2062,651,687,796,941,760,760,1176,995,1556,1755,2261,1447,1320,832,452,633,633,434
ZIP 32327,FL,ZCTA5 32327,27611,15585,12026,1121,886,1320,941,1085,1375,1302,1411,1592,1393,1465,1266,977,651,633,307,199,181
ZIP 32328,FL,ZCTA5 32328,2893,1503,1390,959,1085,977,977,651,1013,1049,832,470,1646,1212,1592,1736,1302,1176,579,434,380
ZIP 32330,FL,ZCTA5 32330,821,402,419,1556,2225,1013,163,344,2261,705,1411,669,1375,398,344,1917,1610,742,922,109,307
ZIP 32331,FL,ZCTA5 32331,4713,2327,2386,832,1103,959,1140,1284,1248,525,705,814,1266,1863,1230,1519,995,1067,651,398,488
ZIP 32332,FL,ZCTA5 32332,1657,846,811,922,1465,1194,1519,1121,1646,1375,1176,651,1067,868,1809,1429,488,506,434,380,36
ZIP 32333,FL,ZCTA5 32333,10549,5460,5089,1302,796,814,760,941,832,886,796,941,1284,1755,1972,1736,1302,941,470,362,181
ZIP 32334,FL,ZCTA5 32334,1676,887,789,1284,1537,1212,1031,163,1610,1230,995,1158,1411,1339,1085,1682,561,959,380,217,253
ZIP 32336,FL,ZCTA5 32336,1524,634,890,452,434,633,1194,1393,814,1375,1085,1212,868,1429,2080,2026,959,742,488,181,742
ZIP 32340,FL,ZCTA5 32340,10928,6100,4828,1013,742,1067,868,1320,1357,1230,1266,1049,1194,1375,1320,1158,850,778,669,362,452
ZIP 32343,FL,ZCTA5 32343,3200,1447,1753,1411,1556,1266,1411,1537,1067,1664,1700,1339,1103,1230,1248,525,398,289,253,18,54
ZIP 32344,FL,ZCTA5 32344,12764,6968,5796,977,832,850,868,868,1103,995,1140,1266,1302,1519,1465,1483,1375,742,543,470,289
ZIP 32346,FL,ZCTA5 32346,1653,906,747,0,0,814,1628,470,651,760,90,597,2605,2822,1537,3111,687,1158,488,253,416
ZIP 32347,FL,ZCTA5 32347,8150,3911,4239,1212,1013,1230,1140,1013,796,724,1031,1248,1085,1212,995,1899,922,977,615,597,362
ZIP 32348,FL,ZCTA5 32348,12044,7702,4342,1031,615,922,705,1556,1863,1592,1429,1447,1501,1411,1248,832,959,362,271,181,163
ZIP 32350,FL,ZCTA5 32350,1623,772,851,1411,1628,506,1809,941,1085,344,814,1519,1031,1013,1935,1031,886,651,543,561,344
ZIP 32351,FL,ZCTA5 32351,19715,9746,9969,1103,1357,1339,922,1248,1411,1465,1013,1519,1085,1121,922,1194,778,597,488,253,253
ZIP 32352,FL,ZCTA5 32352,6210,2897,3313,1447,959,1574,1284,1700,615,326,1357,796,1375,1574,1013,1375,760,724,452,344,416
ZIP 32355,FL,ZCTA5 32355,245,110,135,742,217,1411,814,0,0,289,959,886,2134,2731,2587,1483,1483,1773,0,0,597
ZIP 32356,FL,ZCTA5 32356,149,87,62,0,0,0,0,0,0,0,0,0,0,3636,5698,6439,0,0,2315,0,0
ZIP 32358,FL,ZCTA5 32358,1839,845,994,561,1103,1140,1212,2062,54,941,1158,778,941,633,1773,1755,796,1736,1085,163,199
ZIP 32359,FL,ZCTA5 32359,1460,703,757,271,271,651,561,452,452,488,597,181,760,796,1230,2008,2804,2930,1158,651,1845
ZIP 32361,FL,ZCTA5 32361,114,61,53,0,4594,1899,1266,0,0,0,2858,2695,3654,0,0,0,0,1103,0,0,0
ZIP 32399,FL,ZCTA5 32399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZIP 32401,FL,ZCTA5 32401,23355,11015,12340,1176,1230,850,868,1465,1411,977,886,1121,1393,1537,1176,941,778,778,579,452,470
ZIP 32403,FL,ZCTA5 32403,3330,1763,1567,3165,2315,1067,1972,3165,1610,1501,1537,796,181,398,72,72,145,54,0,18,0
ZIP 32404,FL,ZCTA5 32404,37514,19078,18436,1031,1085,1121,1158,1284,1230,1176,1067,1158,1339,1447,1230,1049,886,814,398,434,199
ZIP 32405,FL,ZCTA5 32405,31455,15263,16192,1194,1085,1284,1031,1266,1158,1248,1230,1176,1284,1103,1140,1049,814,705,506,380,416
ZIP 32407,FL,ZCTA5 32407,9699,4729,4970,922,1140,1610,687,1483,1339,1483,742,1610,1339,1067,850,1194,724,796,434,271,398
ZIP 32408,FL,ZCTA5 32408,15997,8657,7340,850,452,886,1121,1610,1375,995,742,1230,1664,1393,1917,1031,941,651,525,452,271
ZIP 32409,FL,ZCTA5 32409,8717,4288,4429,760,1158,1501,1158,579,1067,1519,1140,977,1682,1465,1646,868,760,669,742,271,109
ZIP 32410,FL,ZCTA5 32410,1074,477,597,904,163,109,543,1212,705,850,1013,1103,850,886,2804,1881,2080,1339,904,199,525
ZIP 32413,FL,ZCTA5 32413,13528,6411,7117,832,687,959,1013,525,1393,1103,1194,1465,1230,1809,1628,1284,1176,615,488,344,344
ZIP 32420,FL,ZCTA5 32420,1905,887,1018,814,1411,1339,470,742,633,922,1447,1103,1248,1863,1682,1556,525,651,760,561,326
ZIP 32421,FL,ZCTA5 32421,4988,2597,2391,1339,1574,1121,1049,1013,832,1103,1610,1121,687,1682,904,1483,1067,651,434,289,145
ZIP 32423,FL,ZCTA5 32423,1267,664,603,1230,235,1121,1682,778,1574,941,163,1212,1827,2134,1158,1230,959,380,886,434,145
ZIP 32424,FL,ZCTA5 32424,7544,4402,3142,651,1031,1049,724,1302,1718,1718,1140,1013,1646,850,1411,814,850,597,615,561,398
ZIP 32425,FL,ZCTA5 32425,13889,7788,6101,1140,1248,850,1049,1302,1393,1140,904,1302,1085,1230,1013,1357,1103,579,597,434,344
ZIP 32426,FL,ZCTA5 32426,794,414,380,561,525,380,470,1574,904,796,543,1067,1610,2044,2623,705,977,1339,904,597,416
ZIP 32427,FL,ZCTA5 32427,1064,500,564,669,1049,434,1266,1429,687,416,1537,814,2623,1067,1628,1339,1574,705,271,362,217
ZIP 32428,FL,ZCTA5 32428,16945,9271,7674,868,1031,1049,1067,1049,1067,1085,1393,1537,1375,1339,1302,904,977,814,543,344,344
ZIP 32430,FL,ZCTA5 32430,880,392,488,1483,778,289,1049,1049,1393,814,326,326,1248,1990,398,1628,1682,1827,1067,470,253
ZIP 32431,FL,ZCTA5 32431,4154,2016,2138,687,1121,1556,1067,814,1140,561,1574,1121,868,1664,1085,1519,796,1357,344,362,416
ZIP 32432,FL,ZCTA5 32432,62,0,62,0,0,0,0,0,0,0,0,0,0,0,0,11377,0,0,0,6711,0
ZIP 32433,FL,ZCTA5 32433,16379,8953,7426,1085,1158,1013,1230,977,1266,1212,1067,1212,1447,1574,1013,922,1266,633,561,181,253
ZIP 32435,FL,ZCTA5 32435,7122,3590,3532,922,1158,1230,959,959,1067,922,760,705,1212,1411,1755,1357,995,922,561,651,579
ZIP 32437,FL,ZCTA5 32437,838,379,459,1465,1194,742,1556,344,1248,2442,452,778,778,1339,470,2786,488,362,633,977,36
ZIP 32438,FL,ZCTA5 32438,3441,1806,1635,868,977,1049,1284,1339,1320,597,1230,1501,1140,1718,1248,1447,615,633,760,235,109
ZIP 32439,FL,ZCTA5 32439,8107,3895,4212,1465,1067,959,904,1194,1320,778,1085,1266,1320,1266,1736,1085,922,669,416,326,307
ZIP 32440,FL,ZCTA5 32440,7881,4558,3323,669,1013,778,1031,1230,1628,1592,1447,1212,1574,1284,959,1085,597,597,452,326,633
ZIP 32442,FL,ZCTA5 32442,3759,1852,1907,1103,1990,705,1429,995,886,651,814,1176,904,1339,1646,1429,1049,977,344,434,217
ZIP 32443,FL,ZCTA5 32443,2564,1321,1243,1067,1067,1302,814,922,868,868,1013,1248,2152,941,1519,941,922,959,597,326,579
ZIP 32444,FL,ZCTA5 32444,19971,9813,10158,1284,1176,1176,1049,705,1411,1176,1194,1140,1140,1302,1158,1320,959,615,633,326,326
ZIP 32445,FL,ZCTA5 32445,2925,2141,784,434,525,796,633,1537,2315,1736,1700,1990,1465,1357,941,1031,470,307,488,253,90
ZIP 32446,FL,ZCTA5 32446,11098,5879,5219,832,832,1429,1284,1176,904,1121,1320,1556,1031,1212,1121,778,941,760,669,525,615
ZIP 32447,FL,ZCTA5 32447,215,207,8,0,0,0,17672,0,0,0,0,416,0,0,0,0,0,0,0,0,0
ZIP 32448,FL,ZCTA5 32448,8805,4369,4436,1465,904,850,778,1194,543,1230,1266,814,1013,1411,1574,1429,1375,778,543,452,434
ZIP 32449,FL,ZCTA5 32449,858,419,439,1121,687,1773,1284,850,597,1140,2315,886,1357,1140,941,687,1230,289,1357,434,0
ZIP 32455,FL,ZCTA5 32455,4846,2505,2341,687,1121,1845,1302,1429,1339,651,977,778,1718,1013,1755,850,1230,724,307,145,199
ZIP 32456,FL,ZCTA5 32456,7276,3740,3536,669,778,687,1158,1103,1230,850,452,1266,1664,1248,1610,1284,1320,959,488,669,633
ZIP 32459,FL,ZCTA5 32459,12446,6363,6083,1085,1103,850,868,506,1103,1140,1809,1320,1375,1755,1302,1465,832,651,362,253,307
ZIP 32460,FL,ZCTA5 32460,5946,4112,1834,796,597,543,742,1718,1610,1664,1447,1519,1447,1302,1375,796,1176,886,235,127,72
ZIP 32461,FL,ZCTA5 32461,26,11,15,0,0,0,0,0,0,0,0,0,0,10437,7651,0,0,0,0,0,0
ZIP 32462,FL,ZCTA5 32462,4163,2347,1816,832,1031,1610,1320,1755,1429,1537,705,941,778,1574,868,995,814,1121,380,235,145
ZIP 32463,FL,ZCTA5 32463,118,55,63,1230,760,1067,307,1067,1375,760,145,1230,2912,452,1537,1682,1845,1230,145,307,0
ZIP 32464,FL,ZCTA5 32464,3990,1909,2081,1049,1049,1031,922,760,977,868,1339,1429,850,1537,1230,1357,1103,904,651,615,398
ZIP 32465,FL,ZCTA5 32465,8844,5666,3178,705,778,868,922,1375,1194,1700,1411,1628,1411,1411,1447,904,814,669,344,344,181
ZIP 32466,FL,ZCTA5 32466,6083,2815,3268,1465,1248,977,1212,1610,1031,977,922,1049,1393,1755,1230,525,977,506,687,344,199
ZIP 32501,FL,ZCTA5 32501,11766,6093,5673,1103,850,1031,1031,1339,1646,1393,995,1176,1501,1230,1085,814,742,796,488,344,579
ZIP 32502,FL,ZCTA5 32502,2639,1298,1341,543,344,253,1212,886,1411,977,1465,561,1320,1773,1990,1140,1574,868,724,307,760
ZIP 32503,FL,ZCTA5 32503,33965,16066,17899,922,1140,832,1773,2587,1357,832,850,850,995,1230,1140,904,850,525,470,416,416
ZIP 32504,FL,ZCTA5 32504,22593,10532,12061,904,922,977,1357,1483,1393,1230,814,1140,1230,1411,1284,904,760,778,633,470,452
ZIP 32505,FL,ZCTA5 32505,25086,12063,13023,959,1067,1085,1248,1339,1357,1140,1067,1121,1158,1393,1393,1284,742,579,615,253,289
ZIP 32506,FL,ZCTA5 32506,35572,17085,18487,1519,1212,1266,1067,1393,1158,1302,1049,1049,1085,1230,1158,1140,814,615,452,326,235
ZIP 32507,FL,ZCTA5 32507,28548,14660,13888,1284,1357,1194,705,1393,1375,1140,941,995,1121,1357,1266,1140,995,705,470,344,307
ZIP 32508,FL,ZCTA5 32508,6882,5186,1696,561,289,344,6403,7434,1556,724,289,235,145,36,72,0,0,0,0,0,0
ZIP 32509,FL,ZCTA5 32509,710,710,0,0,0,0,0,0,1393,2080,4540,2749,1755,2424,1393,705,669,0,0,362,0
ZIP 32511,FL,ZCTA5 32511,1198,946,252,0,0,0,7543,8375,2098,36,0,54,0,0,0,0,0,0,0,0,0
ZIP 32514,FL,ZCTA5 32514,41701,19808,21893,1375,959,1013,1357,1845,1574,1212,959,814,977,1067,1230,977,705,669,452,398,525
ZIP 32526,FL,ZCTA5 32526,36203,17833,18370,1248,959,995,1230,959,1121,868,1121,1393,1339,1393,1284,1212,1103,687,561,307,307
ZIP 32530,FL,ZCTA5 32530,100,0,100,0,0,0,0,0,0,0,0,0,0,9044,0,0,9044,0,0,0,0
ZIP 32531,FL,ZCTA5 32531,5033,2473,2560,1194,687,1158,1574,1158,1302,742,1013,1031,1610,1465,1339,579,1230,814,488,597,72
ZIP 32533,FL,ZCTA5 32533,27212,13290,13922,922,1085,1230,1248,1248,959,886,995,1121,1429,1519,1320,1339,995,597,597,362,235
ZIP 32534,FL,ZCTA5 32534,14384,6805,7579,1103,1501,868,1013,1284,1302,977,832,868,1158,1375,1266,1411,1212,995,470,307,145
