Zip Code,State,Geography,Total population,Male; Estimate; Total population,Female; Estimate; Total population, AGE - Under 5 years, AGE - 5 to 9 years, AGE - 10 to 14 years, AGE - 15 to 19 years, AGE - 20 to 24 years, AGE - 25 to 29 years, AGE - 30 to 34 years, AGE - 35 to 39 years, AGE - 40 to 44 years, AGE - 45 to 49 years, AGE - 50 to 54 years, AGE - 55 to 59 years, AGE - 60 to 64 years, AGE - 65 to 69 years, AGE - 70 to 74 years, AGE - 75 to 79 years, AGE - 80 to 84 years, AGE - 85 years and over
ZIP 38749,MS,ZCTA5 38749,20,7,13,0,0,0,0,0,0,0,0,6331,11757,0,0,0,0,0,0,0,0
ZIP 38751,MS,ZCTA5 38751,11610,5180,6430,1393,1302,1176,1574,1574,1230,922,922,1121,1176,1375,1085,1067,724,470,398,344,199
ZIP 38753,MS,ZCTA5 38753,1391,629,762,941,1085,1085,1140,1230,1682,904,724,868,1809,1610,1284,1140,850,470,488,344,398
ZIP 38754,MS,ZCTA5 38754,1625,835,790,1411,1429,1284,995,1574,1085,597,705,1013,1176,1610,941,977,1085,1121,470,561,36
ZIP 38756,MS,ZCTA5 38756,6259,3083,3176,1212,1266,1049,1393,1574,1212,868,977,1031,1194,1176,1628,1339,669,506,344,344,326
ZIP 38759,MS,ZCTA5 38759,1095,545,550,1972,1121,1357,1320,416,434,1230,1755,1827,1176,868,742,1013,1284,163,54,850,488
ZIP 38760,MS,ZCTA5 38760,1126,498,628,1393,2713,1501,1320,1610,832,2080,506,1031,796,1067,1121,543,886,289,326,90,0
ZIP 38761,MS,ZCTA5 38761,2496,1179,1317,724,1320,1972,2261,1700,1339,1339,1248,959,705,886,977,742,597,525,307,217,253
ZIP 38762,MS,ZCTA5 38762,2523,1091,1432,2116,1610,1664,1429,1393,1357,904,561,1140,1375,1031,543,941,1103,289,289,199,181
ZIP 38764,MS,ZCTA5 38764,274,152,122,0,525,1447,1194,1049,0,1194,995,597,1393,2767,597,2116,724,1845,1121,326,199
ZIP 38765,MS,ZCTA5 38765,83,22,61,4793,9153,0,0,0,0,4142,0,0,0,0,0,0,0,0,0,0,0
ZIP 38767,MS,ZCTA5 38767,45,18,27,0,0,0,0,0,5625,0,0,0,0,0,0,5227,0,7235,0,0,0
ZIP 38768,MS,ZCTA5 38768,26,11,15,0,0,0,0,0,8357,0,0,7651,0,0,2080,0,0,0,0,0,0
ZIP 38769,MS,ZCTA5 38769,2126,963,1163,1320,850,1501,1140,1230,1031,1266,1103,977,1375,1827,1031,1103,1140,506,398,72,253
ZIP 38771,MS,ZCTA5 38771,3164,1334,1830,1881,1393,1375,579,1574,1393,814,1031,959,579,796,1827,1302,742,488,289,615,416
ZIP 38772,MS,ZCTA5 38772,137,53,84,0,0,3835,651,922,1194,796,1718,1972,1049,1718,1972,0,0,1049,525,651,0
ZIP 38773,MS,ZCTA5 38773,3454,1693,1761,941,995,1121,1556,1357,687,1501,850,995,1646,1411,1375,941,1085,651,416,235,344
ZIP 38774,MS,ZCTA5 38774,2590,1283,1307,1592,796,1447,1266,1736,1700,434,850,832,850,1393,1140,1103,1049,398,561,597,344
ZIP 38778,MS,ZCTA5 38778,1574,661,913,2134,2026,1519,1429,1140,452,1519,1447,724,452,1121,1700,796,235,579,181,271,362
ZIP 38781,MS,ZCTA5 38781,247,107,140,1320,217,0,289,1465,1031,2424,362,724,2930,959,1248,1682,1248,579,0,724,886
ZIP 38801,MS,ZCTA5 38801,29568,13455,16113,1447,1357,1375,1266,1248,1067,1067,1049,1320,1176,1212,941,959,868,579,398,307,434
ZIP 38804,MS,ZCTA5 38804,17824,8719,9105,1194,1230,1176,1393,1049,1103,1176,1339,1176,1158,1320,1248,922,724,705,525,217,416
ZIP 38821,MS,ZCTA5 38821,12470,5698,6772,1103,1212,1230,1121,959,1248,760,1194,1049,1266,1465,1049,1194,922,778,579,470,452
ZIP 38824,MS,ZCTA5 38824,8451,4009,4442,1121,1121,1121,1103,1393,778,1357,959,1121,1248,1140,1537,868,778,941,742,452,326
ZIP 38826,MS,ZCTA5 38826,5109,2655,2454,1248,1067,1664,959,1248,742,1574,941,1103,1791,1266,1302,434,669,995,398,452,235
ZIP 38827,MS,ZCTA5 38827,3230,1591,1639,1972,1483,1537,941,1067,1176,1357,922,1574,1646,760,868,760,742,452,416,307,109
ZIP 38828,MS,ZCTA5 38828,4721,2489,2232,1556,1718,1339,832,778,1248,1592,1483,922,597,1610,941,850,922,796,380,344,181
ZIP 38829,MS,ZCTA5 38829,18005,9062,8943,1176,995,1248,1537,1375,1085,1031,922,1302,1176,1429,1031,995,977,615,687,217,307
ZIP 38833,MS,ZCTA5 38833,3029,1430,1599,1375,959,1194,1302,814,1121,669,1302,1375,1266,1519,1483,669,1176,633,561,253,470
ZIP 38834,MS,ZCTA5 38834,29591,14715,14876,1266,1230,1194,1049,1284,1121,1140,959,1375,1067,1284,1158,1067,922,705,506,434,307
ZIP 38838,MS,ZCTA5 38838,1409,739,670,1574,380,2026,796,1302,0,778,1176,1646,1791,941,1610,1302,904,163,380,1121,217
ZIP 38841,MS,ZCTA5 38841,2835,1412,1423,886,1881,1809,1718,778,1899,904,1158,1212,1067,705,724,1212,1284,470,199,90,90
ZIP 38843,MS,ZCTA5 38843,11489,5535,5954,1176,959,1284,1827,1357,904,1049,904,1230,1049,1031,1067,904,977,922,579,380,488
ZIP 38844,MS,ZCTA5 38844,175,72,103,0,0,416,1447,0,0,0,1972,525,4649,0,525,1248,2587,4233,307,199,0
ZIP 38846,MS,ZCTA5 38846,2156,1081,1075,832,814,760,1393,579,814,1537,687,1031,1954,2406,1574,1103,941,922,561,72,109
ZIP 38847,MS,ZCTA5 38847,3245,1620,1625,145,1393,1302,1664,1013,1140,904,850,2225,488,1103,1954,1230,1429,705,199,217,145
ZIP 38848,MS,ZCTA5 38848,1090,535,555,2333,579,561,2080,2731,687,886,579,2623,651,1375,1393,651,0,0,705,0,253
ZIP 38849,MS,ZCTA5 38849,5587,2833,2754,904,1284,1393,868,850,1375,1537,1049,1465,1393,1140,1375,904,760,922,289,289,289
ZIP 38850,MS,ZCTA5 38850,2888,1393,1495,977,651,1158,1935,1990,525,742,687,1013,1230,1447,1121,1140,1284,633,651,488,398
ZIP 38851,MS,ZCTA5 38851,8540,4224,4316,1393,941,1610,1411,1266,977,977,1302,1140,1483,1067,868,977,868,488,488,543,326
ZIP 38852,MS,ZCTA5 38852,8745,4046,4699,651,1266,1103,1013,814,886,1013,1121,868,1230,1284,1483,1375,1103,922,922,724,289
ZIP 38855,MS,ZCTA5 38855,5017,2397,2620,1646,1067,904,1501,1393,1176,796,1031,1682,1357,1176,850,778,832,307,633,633,326
ZIP 38856,MS,ZCTA5 38856,1702,937,765,651,1447,1447,868,705,687,1176,1357,1483,1736,886,687,2659,1158,579,271,199,72
ZIP 38857,MS,ZCTA5 38857,3522,1817,1705,1682,1628,1212,1863,1194,1121,1429,1230,1067,1393,525,1085,1067,326,289,145,724,127
ZIP 38858,MS,ZCTA5 38858,7391,3807,3584,561,1049,1537,1140,814,1411,1176,1465,1212,1049,1718,1284,1067,778,868,669,181,127
ZIP 38859,MS,ZCTA5 38859,560,270,290,1809,977,1140,2062,525,995,977,326,1284,0,742,1592,1429,1031,488,1031,1031,687
ZIP 38860,MS,ZCTA5 38860,5313,2415,2898,850,1375,904,1013,1266,1556,868,995,1230,778,1592,1284,1483,886,1013,253,434,271
